 item_id	item_url	item_brand_name	item_price	item_tikinow	item_discount_rate	item_rating_average	item_review_count	item_quantity
708026	bo-phat-wifi-tp-link-archer-c50-bang-tan-kep-ac1200-hang-chinh-hang-p708026.html?spid=710679	TP-Link	514000	true	20	4.5	668	34
50608552	man-hinh-may-tinh-lg-22mn430-22-full-hd-1920x1080-5ms-75hz-ips-freesync-hang-chinh-hang-p50608552.html?spid=95218594	LG	2980000	false	0	5	10	0
171869909	day-mang-bam-san-chuan-cat7-kingmaster-hang-chinh-hang-p171869909.html?spid=171869911	Kingmaster	90000	true	0	5	7	4
754249	bo-kich-song-wifi-repeater-mercusys-mw300re-300mbps-hang-chinh-hang-p754249.html?spid=8704358	Mercusys	183000	true	0	4.3	75	15
15356062	hop-muc-in-05a-cho-may-in-hp-laserjet-p2035-p2055d-p2055x-p2035n-p15356062.html?spid=26090371	OEM	155000	true	0	4.6	59	36
74561661	bo-chuyen-doi-usb-wifi-tp-link-tl-wn727n-chuan-n-150mbps-hang-chinh-hang-p74561661.html?spid=74561662	TP-Link	149000	true	38	4.8	139	2
8315202	day-mang-bam-san-2-dau-cat5-20-met-mau-ngau-nhien-p8315202.html?spid=29815268	OEM	78000	true	8	4.6	255	21
16217273	usb-nhan-wifi-ns-4840-p16217273.html?spid=79140269	OEM	48900	true	0	4.6	27	9
561879	kaspersky-internet-security-cho-1-may-tinh-kis1u-hang-chinh-hang-p561879.html?spid=295839	Kaspersky	278000	true	11	5	809	1
161381219	ram-laptop-ddr4-crucial-bus-3200-hang-nhap-khau-p161381219.html?spid=161382652	Crucial	780000	true	0	5	5	8
53704413	hop-muc-may-in-canon-lbp-2900-3000-p53704413.html?spid=58336976	OEM	122000	true	0	0	0	44
44012580	ram-laptop-samsung-8gb-ddr4-bus-3200-hang-nhap-khau-p44012580.html?spid=44012581	Samsung	870000	true	0	0	0	17
128971887	man-hinh-aoc-24b2xhm-74-23-8inch-fhd-va-75hz-6ms-250nits-hdmi-vga-hang-chinh-hang-p128971887.html?spid=128971888	AOC	2990000	true	3	5	11	11
615976	bo-chia-mang-5-cong-gigabit-totolink-s505g-hang-chinh-hang-p615976.html?spid=36107987	TOTOLINK	249000	false	0	4.8	19	2
23393172	may-in-laser-trang-den-hp-neverstop-1000w-4ry23a-hang-chinh-hang-p23393172.html?spid=54749353	HP	3060000	true	10	4.7	407	109
176472430	laptop-lenovo-v14-g2-alc-r5-5500u-16gb-512gb-ssd-amd-radeon-graphics-14-fhd-no-os-den-hang-chinh-hang-p176472430.html?spid=176472431	Lenovo	11990000	true	0	5	6	13
20637413	hop-muc-may-in-2900-303-in-dep-nhap-khau-moi-la-cartridge-catrich-toner-dung-cho-may-in-canon-lbp-2900-3000-p20637413.html?spid=25950159	OEM	110900	false	0	4.7	175	0
184860384	xuat-khau-my-bo-chuyen-doi-wifi-usb-150mbps-300mbps-600mbps-1200mbps-1900mbps-the-deosd-usb-wifi-hang-chinh-hang-p184860384.html?spid=184860428		49000		2	5	30	0
74573141	bo-phat-wifi-tp-link-archer-ax10-wifi-6-1500mbps-hang-chinh-hang-p74573141.html?spid=74573142	TP-Link	1349000	true	50	4.7	281	102
32373575	giay-in-anh-media-1-mat-bong-glossy-5r-13-x-18cm-230gsm-100-to-hang-chinh-hang-p32373575.html?spid=32373576	Media Ink	94000	true	0	4.5	41	19
91653298	o-cung-di-dong-500g-1tb-2tb-pa-bh-2-nam-p91653298.html?spid=99154046	OEM	595000	false	0	4.5	60	0
155530380	laptop-dell-vostro-3510-i3-1115g4-8gb-256gb-15-6-f-officehs-win11-v5i3305w-den-hang-chinh-hang-p155530380.html?spid=156219593	Dell	11990000	false	11	4.8	13	10
105698697	huawei-e5577-bo-phat-wi-fi-di-dong-4g-lte-150mbps-pin-3000mah-hang-chinh-hang-p105698697.html?spid=105698701	Huawei	1550000	false	0	4.7	74	5
77015658	cap-noi-usb-3-0-cho-o-cung-di-dong-box-hdd-ssd-wd-p77015658.html?spid=96386147	OEM	50000	true	0	4.6	34	2
533630	man-hinh-dell-e2216hv-22inch-fullhd-5ms-60hz-tn-hang-chinh-hang-p533630.html?spid=254732	Dell	3310000	true	17	4.5	36	18
405243	usb-kingston-dt100g3-32gb-usb-3-0-hang-chinh-hang-p405243.html?spid=22989685	Kingston	109000	false	0	4.5	2047	0
10001384	ram-laptop-samsung-8gb-ddr3l-bus-1600-hang-nhap-khau-p10001384.html?spid=11601748	Samsung	720000	true	0	4.7	345	27
175901749	o-cung-ssd-colorful-sl500-256gb-hang-chinh-hang-p175901749.html?spid=175901750	Coloful	679000	true	0	5	2	93
57269938	man-hinh-chuyen-do-hoa-asus-proart-pa278qv-27-wqhd-2560-x-1440-5ms-75hz-ips-100-srgb-100-rec-709-color-accuracy-e-2-stereo-speaker-2wx2-hang-chinh-hang-p57269938.html?spid=57269939	Asus	8860000	true	7	4.6	132	7
3678497	usb-3-0-sandisk-ultra-flair-cz73-64gb-150mb-s-chinh-hang-p3678497.html?spid=71936355	SanDisk	200000	true	0	5	8	9
17904749	hop-muc-12a-dung-cho-may-in-hp-1020-3050-3055-1319-1010-1018-canon-2900-p17904749.html?spid=28735194	OEM	113900	true	0	4.7	39	21
481615	may-in-laser-don-nang-canon-lbp-6230dn-duplex-network-hang-chinh-hang-p481615.html?spid=194354	Canon	4890000	true	23	4.7	126	31
32973177	o-cung-ssd-lexar-nm100-m-2-2280-sata-iii-256gb-hang-chinh-hang-p32973177.html?spid=34556653	Lexar	699000	true	3	4.8	12	46
356387	o-cung-di-dong-wd-elements-1tb-2-5-usb-3-0-wdbuzg0010bbk-hang-chinh-hang-p356387.html?spid=50275	WD	1600000	true	13	5	1	14
74561265	hop-dung-o-cung-di-dong-hdd-box-2-5-vinetteam-usb-3-0-nhua-trong-suot-toc-do-5gbs-3297-hang-chinh-hang-p74561265.html?spid=74561266	VINETTEAM	118000	false	0	4.5	206	5
15337513	hop-muc-in-85a-cho-may-in-hp-p1102-hp-m1132-mfp-hp-m1212nfa-p15337513.html?spid=26180684	OEM	119800	true	0	4.6	51	24
54616069	usb-sandisk-cruzer-blade-cz50-usb2-0-64gb-hang-nhap-khau-p54616069.html?spid=54616070	SanDisk	160000	true	0	5	18	2
12404568	bo-phat-wifi-tp-link-tl-wr820n-chuan-n-300mbps-hang-chinh-hang-p12404568.html?spid=12404569	TP-Link	248000	false	11	4.6	186	9
100615783	usb-ket-noi-wifi-tenda-w311mi-toc-do-150mbps-hang-chinh-hang-p100615783.html?spid=100615784	Tenda	119000	true	8	4.6	18	36
177003	usb-otg-3-0-sandisk-ultra-16gb-sddd2-016g-gam46-hang-chinh-hang-p177003.html?spid=10594248	SanDisk	105000	true	0	4.5	4	14
615963	bo-chia-mang-5-cong-100mbps-totolink-s505-hang-chinh-hang-p615963.html?spid=36107892	TOTOLINK	148000	false	0	5	24	0
125013938	macbook-pro-13-inch-p125013938.html?spid=73795659	Apple	30230000	true	20	4.8	506	30
11353901	ram-pc-ddr3-8gb-bus-1600mhz-hang-nhap-khau-p11353901.html?spid=21246301	OEM	485000	true	24	4.7	80	25
20600759	hop-muc-may-in-85a-in-dep-nhap-khau-moi-la-cartridge-catrich-toner-dung-cho-may-in-hp-p1102-1102w-p1132-m1212nf-p20600759.html?spid=26591415	OEM	125000	true	0	4.6	53	39
182308659	usb-hikvision-m200-8g-hang-chinh-hang-p182308659.html?spid=182308660	Hikvision	69000	false	0	5	6	0
575516	khay-dung-o-cung-docking-orico-usb3-0-3-5-2-5-6218us3-hang-chinh-hang-p575516.html?spid=311858	"Orico "	520000	true	9	4.7	48	46
26218971	day-mang-bam-san-2-dau-cat5e-40m-mau-ngau-nhien-p26218971.html?spid=48949513	OEM	59000	true	0	4.5	37	5
17910030	hop-muc-in-tn-2385-dung-cho-may-in-hl-2321d-hl-l2361dn-hl-2366dw-dcp-2520d-mfc-2701d-mfc-2701dw-hang-nhap-khau-p17910030.html?spid=26530701	OEM	124000	true	0	5	10	24
59251056	usb-16gb-32gb-hang-chinh-hang-vivan-vf316-vf332-p59251056.html?spid=171901765	vivan	95000	false	0	4.6	23	0
416613	tp-link-tl-wr841n-router-wifi-chuan-n-toc-do-300mbps-hang-chinh-hang-p416613.html?spid=119779	TP-Link	332000	false	32	0	0	19
416978	bo-chuyen-doi-usb-wifi-nano-tp-link-tl-wn725n-chuan-n-150mbps-hang-chinh-hang-p416978.html?spid=120184	TP-Link	147000	true	3	4.6	787	29
15163759	day-nguon-pc-may-in-may-chieu-day-nguon-may-tinh-dai-1-5-2m-day-nguon-loi-dong-tuong-thich-voi-do-gia-dung-chat-luong-cao-p15163759.html?spid=78553827	OEM	45900	true	0	4.6	76	28
10143147	bo-kich-song-wifi-repeater-300mbps-tp-link-tl-wa854re-hang-chinh-hang-p10143147.html?spid=168212	TP-Link	257000	true	12	4.6	204	21
173153435	fan-tan-nhiet-cpu-led-rgb-16-tu-dong-doi-mau-khong-can-hub-p173153435.html?spid=184424887	OEM	144000	true	3	0	0	5
2069769	ban-phim-danh-cho-laptop-dell-inspiron-3543-3558-5758-5545-5547-5551-5555-5558-5559-15-3000-5000-hang-nhap-khau-p2069769.html?spid=49009958		205000		0	4.5	9	0
51845073	may-in-laser-trang-den-da-nang-hp-laserjet-pro-mfp-m135w-in-copy-scan-wifi-_4zb83a-hang-chinh-hang-p51845073.html?spid=83163480	HP	3720000	true	13	4.5	129	7
58533785	o-cung-ssd-120gb-eekoo-sata-iii-6-gb-s-2-5-inch-mau-den-cong-nghe-3d-mlc-nand-hang-chinh-hang-p58533785.html?spid=73747417	EEKOO	380000	true	0	0	0	93
46634155	day-cap-mang-cat6-bam-san-2-dau-p46634155.html?spid=53774264		26000		33	4.1	14	0
26218947	day-mang-bam-san-2-dau-cat5e-5m-mau-ngau-nhien-p26218947.html?spid=139521945	OEM	18000	false	9	5	4	0
8314996	day-mang-bam-san-2-dau-cat5-utp-dai-1-5m-mau-ngau-nhien-p8314996.html?spid=69839281		9160		0	4.7	19	0
571764	o-cung-hdd-video-seagate-skyhawk-1tb-64mb-3-5-st1000vx005-hang-chinh-hang-p571764.html?spid=307544	Seagate	1020000	true	7	3.9	37	46
53257028	man-hinh-cong-samsung-lc27r500fhexxv-27-inch-full-hd-1920x1080-4ms-60hz-va-hang-chinh-hang-p53257028.html?spid=132839595	Samsung	4470000	true	0	4.8	31	3
77918557	phan-mem-diet-virus-kaspersky-anti-virus-cho-3-may-tinh-kav3u-hang-chinh-hang-p77918557.html?spid=77918558	Kaspersky	353000	true	10	4.8	74	7
11220929	may-ep-mang-nhua-plastic-media-md230-kho-a4-p11220929.html?spid=11220930	Media Ink	550000	true	0	4.5	43	5
170338346	man-hinh-may-tinh-dell-ultrasharp-u2723qe-27-inch-ips-black-3840-x-2160-60hz-8ms-dp-1-4-hdmi-2-2-usb-c-3-2-gen-2-jack-audio-network-hang-chinh-hang-p170338346.html?spid=170338347	Dell	14690000	true	12	4.5	4	16
90897068	o-cung-ssd-kingston-nv1-pcie-nvme-m-2-hang-chinh-hang-p90897068.html?spid=129587639	Kingston	875000	true	27	5	194	19
12404603	bo-phat-wifi-mesh-tp-link-deco-m4-ac1200-mu-mimo-1-pack-hang-chinh-hang-p12404603.html?spid=12404604	TP-Link	1190000	true	1	4.7	29	5
44345960	giay-in-nhiet-topcash-k57-hop-10-cuon-hang-chinh-hang-p44345960.html?spid=44345961	Topcash	66000	true	12	4.8	16	13
26218953	day-mang-bam-san-2-dau-cat5e-10m-mau-ngau-nhien-p26218953.html?spid=75996112	OEM	24450	true	0	4.7	83	28
143714075	usb-64gb-kingston-dtx-p143714075.html?spid=162342442	Kingston	190000	false	0	4.3	12	0
73666130	hop-muc-canon-325-cho-may-in-canon-lbp-6030-6030w-6000-mf3010-p73666130.html?spid=73666131	OEM	119900	true	0	4.7	79	9
416601	tp-link-tl-wr940n-router-wifi-chuan-n-toc-do-450mbps-hang-chinh-hang-p416601.html?spid=119767	TP-Link	447000	true	12	0	0	7
53184762	tan-nhiet-khi-cpu-rgb-jonsbo-cr-1000-hang-chinh-hang-p53184762.html?spid=53184763		363000		0	4.8	31	2
7130317	card-mang-usb-wireless-mini-150mbps-tenda-311mi-hang-chinh-hang-p7130317.html?spid=167450	Tenda	101000	true	25	5	2	11
23923201	bo-phat-wifi-khong-day-mercusys-mw301r-02-angten-trang-hang-chinh-hang-p23923201.html?spid=145389064	Mercusys	199000	true	0	1	1	19
186317597	bo-mo-rong-song-wifi-chuan-ac1200-totolink-ex1200t-den-hang-chinh-hang-p186317597.html?spid=186317598	TOTOLINK	370000	false	36	0	0	0
116893463	bo-phat-wifi-bang-tan-kep-1200mbps-ac6-tenda-hang-chinh-hang-p116893463.html?spid=148600535	Tenda	590000	true	0	5	3	8
157687034	ssd-wd-blue-sn570-m2-2280-pcie-nvme-gen3x4-hang-nhap-khau-p157687034.html?spid=157687136	WD	1350000	true	0	4.6	13	4
134559638	usb-sandisk-cz73-ultra-flair-usb-3-0-hang-chinh-hang-p134559638.html?spid=707036	SanDisk	135000	false	0	4.6	182	0
54011966	o-cung-ssd-wd-blue-sn550-1tb-m-2-2280-nvme-gen3-x4-wds100t2b0c-hang-chinh-hang-p54011966.html?spid=54011967	WD	3090000	true	9	4.8	81	13
416911	tp-link-tl-wn823n-usb-wifi-chuan-n-toc-do-300mbps-hang-chinh-hang-p416911.html?spid=120106	TP-Link	189000	false	5	4.6	490	14
63081802	o-cung-gan-trong-ssd-samsung-870-qvo-2-5-inch-sata-iii-hang-nhap-khau-2tb-p63081802.html?spid=63081803	Samsung	4497000	true	0	4.7	12	3
163871617	laptop-lenovo-ideapad-3-14itl6-i3-1115g4-8gb-512gb-14-f-win11-82h700vavn-xam-hang-chinh-hang-p163871617.html?spid=163871618	Lenovo	11990000	false	20	5	1	0
68371276	box-kingshare-chuyen-doi-ssd-m2-sata-sang-chuan-sata-iii-2-5-mau-ngau-nhien-hang-nhap-khau-p68371276.html?spid=68371277	Kingshare	162000	true	0	4.8	47	8
452121	o-cung-di-dong-transcend-storejet-h3b-2tb-usb-3-0-3-1-ts2tsj25h3b-hang-chinh-hang-p452121.html?spid=159459	Transcend	2100000	false	0	4.8	35	48
52789693	bo-phat-wifi-xiaomi-router-4c-ban-tieng-anh-quoc-te-hang-nhap-khau-p52789693.html?spid=58465892	Xiaomi	349000	false	0	4.6	8	0
11251768	bo-switch-16-cong-gigabit-chia-mang-lan-tplink-tl-sg1016d-hang-chinh-hang-p11251768.html?spid=161466826	TP-Link	1419000	false	0	0	0	0
155759193	o-cung-ssd-120gb-2-5-sata-iii-p155759193.html?spid=155759195	OEM	385000	false	0	5	7	0
53515403	bo-luu-tru-du-lieu-das-terramaster-td2-thunderbolt-3-chuyen-cho-xu-ly-video-va-xu-ly-anh-40gbps-8k-video-800mb-s-2-khay-o-cung-raid-0-1-jbod-single-hang-chinh-hang-p53515403.html?spid=53515404	TerraMaster	6290000	false	0	5	1	0
49652338	pin-danh-cho-laptop-dell-vostro-3558-3458-inspiron-3552-3558-5451-5459-5755-p49652338.html?spid=52793335	OEM	405800	false	0	3.8	10	0
125839784	vo-main-vo-cuc-day-size-2u-pro3600-new-2020-p125839784.html?spid=125839791		680000		0	5	2	0
